latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
27.66943,76.13124,306.77,0.39,0.36,2025-02-22,2034,N,VIIRS,n,2,288.98,0.83,N,2
28.0704,77.85876,298.78,0.38,0.36,2025-02-22,2034,N,VIIRS,n,2,283.81,0.66,N,0
26.55832,79.59072,336.67,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,304.29,3.86,D,0
26.78737,78.45386,345.13,0.39,0.36,2025-02-23,749,N,VIIRS,n,2,304.31,5.62,D,0
26.8021,78.38294,344.87,0.39,0.36,2025-02-23,749,N,VIIRS,n,2,304.07,5.2,D,0
27.10249,77.13047,336.79,0.42,0.38,2025-02-23,749,N,VIIRS,n,2,306.81,3.05,D,0
27.26141,79.69672,330.3,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,296.07,2.54,D,0
27.26199,79.70058,332.96,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,301.12,4.11,D,0
27.40364,79.62996,329.19,0.38,0.36,2025-02-23,749,N,VIIRS,l,2,302.33,3.12,D,0
27.98256,79.09708,332.62,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,296.88,2.71,D,0
28.04291,79.09353,337.98,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,300.75,2.85,D,0
28.11147,77.61008,330.98,0.4,0.37,2025-02-23,749,N,VIIRS,n,2,297.08,3.18,D,0
28.125,77.48119,332.05,0.4,0.37,2025-02-23,749,N,VIIRS,n,2,297.25,1.77,D,0
28.13079,79.07233,336.21,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,299.03,4.36,D,0
28.19576,77.72189,328.5,0.4,0.37,2025-02-23,749,N,VIIRS,n,2,297.56,1.47,D,0
28.35881,79.47825,339.89,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,304.13,10.09,D,0
28.3594,79.48215,347.35,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,307.9,10.09,D,0
28.40127,77.8418,335.68,0.39,0.37,2025-02-23,749,N,VIIRS,n,2,301.66,2.59,D,0
28.42089,78.02735,330.55,0.39,0.36,2025-02-23,749,N,VIIRS,n,2,296.85,1.57,D,0
28.5,78.98093,332.2,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,297.29,1.99,D,0
28.528,78.29619,331.62,0.39,0.36,2025-02-23,749,N,VIIRS,n,2,297.88,1.98,D,0
28.57069,78.91465,332.12,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,295.74,2.15,D,0
28.57959,78.7515,336.94,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,299.44,3.64,D,0
28.70829,78.75526,333.77,0.38,0.36,2025-02-23,749,N,VIIRS,n,2,297.74,2.91,D,0
28.69422,76.98434,327.99,0.41,0.37,2025-02-23,750,N,VIIRS,l,2,298.28,1.08,D,0
28.72589,78.15493,331.51,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,301.02,2.08,D,0
28.83025,76.08427,331.67,0.44,0.38,2025-02-23,750,N,VIIRS,n,2,297.91,2.18,D,0
28.87567,77.71658,334.43,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,302.35,6.2,D,0
28.88659,76.48887,326.14,0.42,0.38,2025-02-23,750,N,VIIRS,n,2,297.13,2.21,D,0
28.92825,79.01505,338.1,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,298.35,5.14,D,0
28.93286,78.62981,331.9,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,297.73,1.33,D,0
28.95948,79.04124,336.29,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,298.79,3.5,D,0
28.96789,76.22852,334.11,0.43,0.38,2025-02-23,750,N,VIIRS,n,2,297.59,4.79,D,0
28.98567,77.4513,345.28,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,300.64,6.64,D,0
29.00365,76.63161,330.65,0.42,0.37,2025-02-23,750,N,VIIRS,n,2,295.88,5.25,D,0
29.02129,79.47451,337.33,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,300.1,5.22,D,0
29.05331,78.03914,330.05,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,298.9,1.91,D,0
29.06141,79.04559,332.33,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,298.2,3.99,D,0
